,X,Y,Z,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz
8085,9542.014329987922,4514.301831203205,3759.314330911001,0.0,0.0,0.0,0.0,0.0,0.0
8086,9555.822623502698,4609.32649158629,4022.864243034473,0.0,0.0,0.0,0.0,0.0,0.0
8087,9571.64096836864,4694.201408010037,3294.1132749305643,0.0,0.0,0.0,0.0,0.0,0.0
8088,10245.989988309033,4998.0038625263915,4397.63422301893,0.0,0.0,0.0,0.0,0.0,0.0
8089,10423.183453687672,5127.294612866188,4412.68830563314,0.0,0.0,0.0,0.0,0.0,0.0
8090,10049.631302610314,4915.082039345947,5000.000000000002,0.0,0.0,0.0,0.0,0.0,0.0
8091,10059.213912770345,4891.897575766268,4691.290070202358,0.0,0.0,0.0,0.0,0.0,0.0
8092,10236.407378148991,5021.1883261060675,4706.344152816569,0.0,0.0,0.0,0.0,0.0,0.0
8093,10220.808523658341,5101.0796096377335,5000.000000000001,0.0,0.0,0.0,0.0,0.0,0.0
8094,10407.584599197022,5207.185896397855,4706.344152816569,0.0,0.0,0.0,0.0,0.0,0.0
8095,10391.985744706373,5287.077179929523,5000.000000000002,0.0,0.0,0.0,0.0,0.0,0.0
8096,10484.225335419214,5179.53009374528,4228.668843274228,0.0,0.0,0.0,0.0,0.0,0.0
8097,10545.267217150771,5231.765574624379,4044.649380915319,0.0,0.0,0.0,0.0,0.0,0.0
8098,1219.8376183773053,1035.0511524447381,444.42829860568094,0.0,0.0,0.0,0.0,0.0,0.0
8099,1110.8045774809373,1088.9747204022412,1015.32037322906,0.0,0.0,0.0,0.0,0.0,0.0
8100,776.9284639155926,1478.5463930724607,738.3411054260517,0.0,0.0,0.0,0.0,0.0,0.0
8101,1054.6316806992365,1277.7325234869916,771.4474199452067,0.0,0.0,0.0,0.0,0.0,0.0
8102,833.1013606972945,1289.7885899877103,982.2140587099057,0.0,0.0,0.0,0.0,0.0,0.0
8103,1109.1482011474186,1250.7707395082384,486.001382633516,0.0,0.0,0.0,0.0,0.0,0.0
8104,998.4587839175333,1466.4903265717403,527.5744666613517,0.0,0.0,0.0,0.0,0.0,0.0
