,s0_5,s1_5,s2_5,s3_5,s4_5,s0_5_10%,s1_5_10%,s2_5_10%,s3_5_10%,s4_5_10%,s0_10,s1_10,s2_10,s3_10,s4_10,s0_10_10%,s1_10_10%,s2_10_10%,s3_10_10%,s4_10_10%,s0_15,s1_15,s2_15,s3_15,s4_15,s0_15_10%,s1_15_10%,s2_15_10%,s3_15_10%,s4_15_10%,s0_20,s1_20,s2_20,s3_20,s4_20,s0_20_10%,s1_20_10%,s2_20_10%,s3_20_10%,s4_20_10%
1000,-0.59597345,-1.181362934,-1.932866136,-3.125476407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s2_5,s2_10,s2_15,s2_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.52363515,-1.043526543,-1.696436101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.551321425,-1.09609154,-1.795989349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.231580855,-0.447989232,-0.683113491,-0.937112564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.319080673,-0.482533716,0.100908172,6.432759731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-0.397676484,-0.810953862,-1.348441325,-2.142439524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,-0.523740786,-1.037067667,-1.671786927,-2.613075399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-0.011293412,-0.025521801,-0.028511459,0.021907768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-0.49921706,-1.049307889,-1.850825551,-3.256872797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-0.199144518,-0.387518525,-0.572523792,-0.736203954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-0.524040798,-1.037693899,-1.684726215,-2.686779852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s3_5,s3_10,s3_15,s3_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-0.437014003,-0.865016473,-1.389477619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-0.393171614,-0.789577405,-1.272206094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-0.568973957,-1.143125383,-1.847971228,-2.621939051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-0.29567992,-0.461608452,-0.340441682,0.644700503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
