,,,,0,5,10,15,20
0.703757623,10.13033207,17.7698708,8.375069123,0.703757623,0.84203593,1.190237432,1.966962311,3.757813144
0.662633584,2.439088192,17.02230314,37.65241876,0.662633584,0.741360371,0.860753961,1.033841227,1.281110339
1.162324656,5.185236106,3.553388445,43.72437633,1.162324656,1.331818753,1.657870651,2.228620022,3.217159719
0.467486464,6.224358421,11.87545809,15.80866609,0.467486464,0.540537347,0.690973984,0.969719785,1.484085087
0.640484251,4.782303444,18.35067982,48.61914464,0.640484251,0.731308509,0.901044325,1.191258736,1.681277342
0.132952583,8.90256261,12.83709204,41.36771135,0.132952583,0.157372864,0.215504324,0.338225155,0.602464634
0.292286805,9.697258884,20.617395,13.42804629,0.292286805,0.348391296,0.486974014,0.790229415,1.472828832
0.531102401,9.862411963,2.617596154,0.391618939,0.531102401,0.633965006,0.889934885,1.454195746,2.736000488
0.736821331,2.892062871,23.02421092,17.58010413,0.736821331,0.827598107,0.971929939,1.189100379,1.510758184
0.737597244,4.820852981,10.83362918,30.87048783,0.737597244,0.842475641,1.039032903,1.375877814,1.946032477
0.139263693,19.28842017,30.57203891,43.55550717,0.139263693,0.180618326,0.324330097,0.791270484,2.563961485
0.491809839,7.818256779,15.9121632,30.07437146,0.491809839,0.576642461,0.767897526,1.151682562,1.928833495
0.569893462,1.019396019,2.180484876,9.739503673,0.569893462,0.629896167,0.705742583,0.80041314,0.917871964
0.616944117,6.574186809,19.26232029,35.71910467,0.616944117,0.715533436,0.922904131,1.314183768,2.051348121
1.119791097,4.360049183,21.15635147,44.01350522,1.119791097,1.273889925,1.552782431,2.017507289,2.780988992
0.296018159,11.77689377,3.504981778,23.09844588,0.296018159,0.359337656,0.530087342,0.939049801,1.971389134
0.235867113,15.48214052,18.18996196,45.52908127,0.235867113,0.295806359,0.480640406,0.996531154,2.589713729
0.585062213,8.341157103,36.01087007,47.12978722,0.585062213,0.689127379,0.930124272,1.425842088,2.459959609
0.705319078,10.08315096,6.301989169,20.88266389,0.705319078,0.843555022,1.190929843,1.964200563,3.742435106
0.505699344,8.953013492,7.892333357,28.94817267,0.505699344,0.598849142,0.821124131,1.291451277,2.307019371
