ID,Centroid
1038,"[1458.3688653417157, 3416.085581018049, 108.57290610423848]"
1039,"[1494.9755300073832, 1667.8761110738224, 48.325555417054204]"
1043,"[1465.0128001932105, 3556.747603737415, 270.09444670862956]"
1044,"[1457.9227680022286, 2272.284135753749, 198.47390779516226]"
1045,"[1472.985350408771, 2374.214781910118, 172.86815367893766]"
1047,"[1439.4548826169196, 2733.2246040870823, 258.7956458851018]"
1048,"[1447.6487187804087, 3028.1805060006486, 295.420694129095]"
1049,"[1444.2030462415078, 1643.4511286434363, 200.90094236248083]"
1050,"[1490.4053759857825, 2513.2448850383207, 90.24555148283905]"
1051,"[1482.9395946829375, 2450.9185007626934, 129.62510350838963]"
1052,"[1487.1954368541135, 2852.9784995302643, 133.62860018789425]"
1055,"[1464.3061496477756, 2885.829916862347, 223.40953227137146]"
1057,"[1479.886288998358, 2884.141461412151, 249.52512315270937]"
1059,"[1529.9127192624624, 1867.3130129721792, 108.02888145549483]"
1060,"[1462.0102289332683, 2643.385533365806, 1.5487092060399414]"
1061,"[1498.6774679728712, 1871.8758948756595, 136.55637716654107]"
1062,"[1514.0998295711454, 1338.8485896142743, 170.46333692741123]"
1063,"[1510.5485472634937, 2605.7781155015196, 52.5072778417565]"
1064,"[1480.033904109589, 2888.620890410959, 180.60876712328766]"
1066,"[1499.9051476380048, 1762.3987397015308, 182.62977668022054]"
1067,"[1489.3592267342488, 1306.4576236223256, 109.15612659869157]"
1069,"[1480.1798929836461, 1691.8237998342, 211.9367699148391]"
1070,"[1474.9733908373341, 2642.7565302302874, 15.597607616567663]"
1071,"[1531.3242840913542, 3248.11688800094, 37.548791475692404]"
1072,"[1500.8231017285236, 1714.9192420934564, 263.16918701303905]"
1074,"[1545.463378799799, 3477.1692717466517, 154.5622328173727]"
1076,"[1587.328780028262, 1883.0477843400124, 277.68262618210804]"
1077,"[1508.096500996366, 3262.27546594772, 203.4818895791818]"
1078,"[1487.2372813990462, 1688.217938526762, 287.6356650768415]"
1081,"[1511.2542242703532, 3169.344239631336, 294.21397849462363]"
1084,"[1546.6560114688675, 3202.0031126092963, 262.97256770893875]"
1087,"[1513.423267945832, 3153.967341980205, 232.39064565691214]"
1088,"[1554.199614629921, 2514.8279446339866, 200.64429281054996]"
1090,"[1534.8637711661725, 1348.716827704965, 78.11234414362703]"
1091,"[1536.3685035093583, 2600.0326286764707, 176.22236380347593]"
1092,"[1520.9865648316193, 2357.8970054446463, 219.4834644081468]"
1094,"[1515.3275324675324, 2165.101818181818, 296.4207792207792]"
1096,"[1556.535006231824, 2796.253469048608, 33.1746821769838]"
1097,"[1586.7583402601488, 1416.1530732594972, 247.92781883944016]"
1098,"[1549.9534697152026, 2787.723516756008, 289.78973854064105]"
1099,"[1539.6164297658863, 2338.2470039018954, 244.14067725752508]"
1100,"[1522.8885672937772, 1355.9578250982013, 3.783130039280546]"
1101,"[1535.1884917320863, 3393.7730081843997, 183.76540838483382]"
1107,"[1540.1616702711694, 2275.029312926302, 270.4961903177508]"
1108,"[1644.4836632108074, 911.5976326440095, 242.2493393210253]"
1110,"[1566.7739169894494, 1872.6123365152423, 211.66565645106397]"
1111,"[1596.183753713777, 1451.55826993097, 124.65329853917429]"
1114,"[1599.8849758671006, 1404.4398641822875, 289.4399764283309]"
1116,"[1556.5212425551792, 2562.597173887656, 111.10017517225272]"
1117,"[1555.550748998863, 1784.6750383151234, 11.391852474415385]"
1118,"[1573.916675183974, 3112.798267579722, 107.01998160261651]"
1119,"[1617.582172957127, 2230.1857823378527, 152.79428362037376]"
1120,"[1575.4859276822763, 1416.4319383521042, 40.79523414344991]"
1121,"[1617.825185059134, 2438.0145664936613, 284.9605377350464]"
1122,"[1591.4421841185283, 2481.469219244215, 236.16835358748128]"
1125,"[1612.3565168350938, 1142.9814958769643, 144.2273537884677]"
1126,"[1591.2421522186469, 1461.274178624204, 186.37398665911695]"
1128,"[1576.8269585438218, 1414.457220752145, 91.0694411033598]"
1129,"[1619.151734346625, 2112.127516061591, 194.18642127912833]"
1131,"[1595.3374486981095, 3051.6603310233468, 137.06593554464106]"
1133,"[1611.7800178868022, 3242.5151910054938, 88.87601890890507]"
1135,"[1615.6647487533564, 1844.6775785839743, 36.25377021379686]"
1136,"[1613.580384046214, 2041.0021930215557, 213.75498778683118]"
1138,"[1597.427783109405, 2681.2447216890596, 91.44649712092131]"
1139,"[1618.802081296574, 1987.8639987833758, 242.07879814899303]"
1140,"[1644.4215381911902, 1163.2822018509842, 179.0664391986879]"
1142,"[1622.731755154169, 2478.5910873928115, 264.15831964969897]"
1143,"[1648.6554814679325, 2743.81035600858, 203.3994080380452]"
1145,"[1649.088986307609, 1155.9958723561729, 86.90744114549233]"
1147,"[1639.8027192982456, 2818.054649122807, 73.62443609022556]"
1148,"[1634.7409156012943, 2205.457429314095, 174.2512864039043]"
1149,"[1611.1122712594188, 1478.1787944025834, 205.90764262648008]"
1150,"[1613.8235744941753, 2873.9294911097486, 294.9092581238504]"
1152,"[1681.6845290410065, 3077.0649540885083, 21.373896157162108]"
1153,"[1670.2352658508482, 1533.8413140463826, 60.32170764870665]"
1155,"[1652.9167108320762, 2698.2712979194694, 120.00320708820851]"
1156,"[1653.159431566877, 2282.395609796052, 132.31501351462038]"
1158,"[1667.2687273808933, 1738.1109761538844, 141.69711466957514]"
1160,"[1692.7950102944976, 3297.211674877258, 138.2343061008444]"
1163,"[1688.8119401491267, 1722.0018515738377, 112.85851306944235]"
1166,"[1637.5487720184356, 2715.177725866532, 219.05151840393964]"
1167,"[1634.6507295982706, 2624.113673212034, 257.5929021797874]"
1168,"[1676.5116979753943, 2359.049565177695, 91.16654493163817]"
1169,"[1648.0760832246103, 2756.7803337224473, 173.44729794685162]"
1170,"[1659.8171975220657, 3107.0985143358366, 184.23033276684393]"
1171,"[1656.1449370409234, 2726.959706190976, 246.33452256033578]"
1172,"[1635.3337113235057, 3417.3870079377934, 294.5601814352827]"
1173,"[1647.7755380005449, 1471.615636066467, 2.9354399346227185]"
1175,"[1652.0809098542095, 1533.080070223647, 219.12075414090526]"
1177,"[1675.9473811044304, 1607.2390081091175, 189.25997373272443]"
1181,"[1674.8249133998697, 1562.3596563432452, 272.52580855369206]"
1183,"[1665.6051189671996, 2983.736433235758, 212.8072506192299]"
1185,"[1705.6712021388332, 3061.9178363410674, 288.74431872433877]"
1188,"[1708.7701445433315, 3053.774512402954, 247.2744429716594]"
1191,"[1747.2626642284429, 1254.3512899141933, 244.5439246026164]"
1192,"[1711.5099883576959, 2495.588971226877, 42.73085949771774]"
1193,"[1668.8540502793296, 1555.7540901835594, 112.47735434956105]"
1196,"[1727.8083666377063, 1272.6912337098177, 124.75980886185926]"
1197,"[1682.2488387270146, 2048.5394832815077, 263.12372835809435]"
1200,"[1730.413049570853, 2387.317691364512, 188.76558066211246]"
1202,"[1703.085637375673, 2501.478419563829, 153.01094990418835]"
1205,"[1685.1720569210868, 2086.136265631738, 244.78546787408365]"
1206,"[1720.4862273945078, 2641.0929755525785, 290.58485432016073]"
1207,"[1714.8600950381258, 1652.9615427119018, 290.9353888090765]"
1209,"[1716.3567070017582, 2202.8159409797636, 233.78474161409315]"
1210,"[1708.7351465683216, 2234.809989966646, 209.48027225642]"
1211,"[1777.8524448729986, 2681.3489241036314, 37.004846608642694]"
1213,"[1735.3559497111792, 1290.126360856269, 181.5388379204893]"
1215,"[1730.9196170755183, 3006.2061340755963, 77.87772170338961]"
1216,"[1742.3002479372435, 1640.2896801203105, 18.91259196033004]"
