ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
1388,35785,13,"[1993.7178426715104, 3099.825206091938, 284.3509012155931]",[-0.0403912  -0.55540212  0.83060041],[0.66450073 0.60587153 0.43744539],[ 0.74619523 -0.56960353 -0.34459323],2.2227829293282766,-0.4326236664543782,0.7284679059241391
1399,168943,61,"[2053.5166831416514, 3472.766246603884, 46.05515469714638]",[0.37003433 0.498732   0.78379908],[ 0.33786357  0.71366976 -0.61361525],[ 0.86540326 -0.49187587 -0.09557894],2.0876394885499394,-0.1099985867013457,0.5248417285739971
1411,15312,5,"[2030.780107105538, 248.26018808777428, 227.64439655172413]",[0.76499696 0.57284376 0.29432918],[ 0.04542204 -0.50386019  0.86259014],[-0.64243014  0.6465098   0.41147125],2.3593596114971502,-0.5696620213647126,0.8731311792159702
1413,32557,11,"[2046.9968056024818, 83.00187363700587, 164.84872684829682]",[ 0.43176151 -0.06553027  0.89960423],[ 0.60405637  0.76168104 -0.23443101],[ 0.66984916 -0.64462995 -0.36844853],2.337011139110828,-0.5028793094917731,0.8367907076910459
1414,6403,2,"[2036.7952522255193, 99.98625644229267, 296.66015930032796]",[0.58057087 0.81414612 0.01017636],[ 0.38726183 -0.28710904  0.87612595],[ 0.71621627 -0.50471229 -0.48197486],2.18466473510611,-0.5923372360491546,0.7724309707162997
1442,9377,3,"[2082.598592300309, 3580.3630158899437, 18.69222565852618]",[0.19500078 0.2884427  0.93743027],[ 0.27033668  0.90294907 -0.33406744],[ 0.9428111  -0.3185652  -0.09809913],1.8966410797415623,-0.1036765445703016,0.33983073218037135
1451,32033,11,"[2125.499328817157, 225.93837604969875, 259.36833890050883]",[-0.03422506 -0.51657306  0.85555883],[0.74274818 0.55963235 0.36760955],[ 0.66869559 -0.64804622 -0.36453025],2.340513608802307,-0.4991014354498987,0.83834326336676
1453,20697,7,"[2113.809634246509, 147.82915398366913, 179.6806300430014]",[ 0.27405775 -0.25517757  0.92724148],[0.62636628 0.77898009 0.02924558],[ 0.72976546 -0.57277782 -0.37332016],2.2362490981724785,-0.47285423659117215,0.7528174826656395
1455,40466,14,"[2131.642489991598, 3091.5378836554146, 160.1991301339396]",[0.60452028 0.59205789 0.53293778],[-0.15072874 -0.57192216  0.80634105],[ 0.78219951 -0.56777856 -0.25649841],2.19867738609417,-0.31687014309650485,0.6726079339134177
1459,37930,13,"[2130.1710783021354, 3162.7065910888477, 17.096203532823623]",[0.40120181 0.589489   0.70109901],[-0.39326345 -0.58041775  0.71306318],[ 0.82727321 -0.56179886 -0.00104018],2.1673553308278852,-0.0012573543146735023,0.5965598006539115
1465,11914,4,"[2117.750881316099, 3092.1682054725534, 131.25062951149908]",[0.57453435 0.72649849 0.3769751 ],[-0.14902798 -0.36002588  0.92096256],[ 0.8047987  -0.58530445 -0.09857863],2.1995896134575075,-0.12188143135632934,0.6354600827312888
1467,152947,55,"[2189.227889399596, 3017.649656416929, 212.82677659581424]",[ 0.32790464 -0.18582126  0.92625537],[ 0.53830283  0.84247587 -0.02155137],[ 0.7763431  -0.50567268 -0.37627986],2.148121446532817,-0.4513186309778608,0.6819531660001118
1479,262151,95,"[2256.917742064688, 258.0249398247575, 216.80178217897318]",[ 0.37261004 -0.12653308  0.91932102],[ 0.54767803  0.8297183  -0.10777902],[ 0.74913987 -0.54365147 -0.37846076],2.1985637764730623,-0.4677939484151809,0.7240336910989187
1485,106697,38,"[2231.2281601169666, 66.64833125579914, 117.18937739580306]",[0.57560091 0.40777918 0.70880162],[ 0.34145699  0.66774986 -0.66145087],[ 0.74302807 -0.62275699 -0.24511838],2.268361022917237,-0.3186493874051643,0.7332127557320544
