ID,Pixels,ZDiscs,Centroid,PC1,PC2,PC3,Azi_[RAD],Ele_[RAD],Sph_[RAD]
341,115173,41,"[406.7858178566157, 3463.486129561616, 111.1741901313676]",[ 0.00881585 -0.22732061  0.97378007],[0.60720322 0.77494306 0.17540667],[ 0.79449766 -0.58973604 -0.14486159],0.6385389824873016,-0.1803499041023691,0.6526164135009263
343,18562,6,"[412.02774485508024, 1152.2556297812737, 192.15434759185433]",[ 0.52370581  0.79897332 -0.29559069],[0.30081021 0.15119272 0.94162306],[ 0.79702286 -0.58205016 -0.16115882],0.6307606446645243,-0.19951101161763107,0.6484467203280658
346,26278,9,"[410.5256488317224, 579.8386102443109, 119.8621660704772]",[ 0.45636169  0.74690178 -0.48360287],[0.42142289 0.29724551 0.85676593],[ 0.78366878 -0.59479647 -0.17911005],0.6492296811905272,-0.22469389192935638,0.6702461615061955
347,3827,1,"[392.96315651946696, 1237.4334988241442, 225.45414162529397]",[0.47053642 0.60877366 0.63874104],[-0.24903213 -0.60283565  0.75800539],[ 0.84650958 -0.51573619 -0.13205192],0.5471934154711885,-0.15474857266234776,0.5614019467524061
348,51960,18,"[417.7132217090069, 1055.6465935334872, 85.97270977675134]",[-0.47018506 -0.40675267  0.78324854],[0.43864306 0.6623951  0.60730964],[ 0.76584481 -0.62911446  0.13302904],0.6876928137264536,-0.17198629694886305,0.6984422177814108
350,6437,2,"[408.0173994096629, 153.38837967997515, 295.43886903837193]",[ 0.70637193  0.70182712 -0.09207272],[ 0.21534978 -0.0891676   0.97245751],[-0.67428715  0.70674453  0.21412381],0.808896105669364,-0.3074842260212996,0.8307973540330518
351,45563,16,"[446.97410179312163, 2560.3418563307946, 279.4017514211092]",[ 0.33645279  0.6713533  -0.66036676],[0.43527362 0.51097373 0.74124404],[ 0.8350667  -0.53683386 -0.12030384],0.5713419405529568,-0.14308050409865908,0.5825423113006267
352,85734,31,"[494.6795553689318, 330.1629691837544, 275.95630671612196]",[0.76992724 0.61783659 0.15965585],[-0.03235324 -0.21207708  0.97671725],[-0.637311   0.7571666  0.1432949],0.8711376223386104,-0.22116497441546903,0.879792572582497
354,3805,1,"[400.38423127463864, 1319.865703022339, 230.7831800262812]",[0.62951305 0.74914663 0.20613746],[ 0.04292462 -0.29842852  0.95346625],[ 0.77580332 -0.59137108 -0.22002148],0.6513073463229281,-0.2763482193854756,0.6828090809195085
355,65838,23,"[416.2413044138643, 2540.1332361250343, 181.923843373128]",[ 0.02215029 -0.28732416  0.95757725],[0.4978941  0.83375413 0.23865354],[ 0.86695492 -0.47148582 -0.1615249 ],0.4981024853395038,-0.18420093564064768,0.521736742685655
356,11200,4,"[419.85330357142857, 3570.918035714286, 58.68767857142857]",[0.62547756 0.64125385 0.44448997],[-0.01473884 -0.55986982  0.82844949],[ 0.78010294 -0.52472783 -0.34073467],0.592126054501762,-0.4118073584047298,0.6759659967090075
358,266842,97,"[515.7754738759265, 1209.5485230960644, 40.5090727846441]",[ 0.54083027  0.82495419 -0.16417429],[0.05700305 0.15878704 0.98566593],[ 0.83919799 -0.54243641  0.03885194],0.5738225082556324,-0.04626347307168334,0.5749895412390711
360,53058,19,"[455.93755889780994, 3560.8487504240643, 91.71546232424893]",[0.27652588 0.12975802 0.95220601],[ 0.45360714  0.8558949  -0.24836363],[ 0.84721544 -0.50060642 -0.17781792],0.5336899160803984,-0.20688217241269322,0.5600746784195447
362,15449,5,"[434.4720693896045, 33.32196258657518, 8.469221308822577]",[0.55469938 0.53480686 0.63740899],[ 0.05588666  0.74039211 -0.6698479 ],[ 0.83017184 -0.40718687 -0.38080647],0.45600671344868404,-0.4300718661612209,0.5913804861472051
363,12380,4,"[431.08327948303713, 2644.4741518578353, 3.1036348949919224]",[ 0.36246239  0.92954263 -0.06761303],[ 0.43894626 -0.10626372  0.89220749],[ 0.82216008 -0.35307014 -0.44653586],0.4056271109037258,-0.4975497403679159,0.6056010743481703
364,51145,18,"[441.0302277837521, 798.0559781014762, 46.52333561442956]",[-0.10143623 -0.50308866  0.85826132],[0.55828098 0.68527723 0.46767238],[ 0.82342761 -0.5265899  -0.21135289],0.5689652422868401,-0.2512506386807365,0.6033708339999867
365,18669,6,"[442.5787669398468, 2390.6830039102256, 50.54962772510579]",[0.25817165 0.02378738 0.96580617],[ 0.28370514  0.95375326 -0.09932833],[ 0.92350354 -0.29964793 -0.23948345],0.3137512217054426,-0.2537315295164744,0.3936804282146765
366,74578,27,"[481.25951352945907, 346.8452894955617, 10.14092627852718]",[0.44063178 0.89702372 0.03452643],[ 0.2099182  -0.14035763  0.9675919 ],[ 0.87279893 -0.41910402 -0.25014764],0.4476694488214749,-0.2791220035963882,0.5098884989256771
368,9245,3,"[431.8482422931314, 3583.308058409951, 290.8206598161168]",[-0.12030887 -0.17547126  0.97710573],[0.55522421 0.80402871 0.21275315],[ 8.22953130e-01 -5.68108848e-01 -6.94109172e-04],0.6042061880104292,-0.0008434368644742849,0.6042065369651369
369,10607,3,"[435.1668709342887, 3165.2201376449516, 262.999434335816]",[-0.0531387  -0.53723959  0.84175406],[0.43919796 0.74446352 0.50287098],[ 0.89681739 -0.39641858 -0.19639471],0.41620483394717284,-0.2155874438774832,0.45827406397208564
370,28360,10,"[445.6322284908322, 3357.803808180536, 232.0583568406206]",[-0.05310394 -0.65012727  0.75796735],[0.48626583 0.64613004 0.58826993],[ 0.8721958  -0.39981307 -0.28182263],0.429815967662479,-0.312529238829528,0.5111228675793944
371,30970,11,"[452.0500807232806, 3278.5352599289636, 262.13161123668067]",[ 0.23715868 -0.14964677  0.95987583],[0.34363674 0.93710677 0.06119392],[ 0.90866361 -0.31533593 -0.27366713],0.3340288468728018,-0.29253480015508687,0.43072421209827083
373,9030,3,"[441.7611295681063, 2555.6447397563675, 216.30498338870433]",[0.14045148 0.09082816 0.98591259],[ 0.37838126  0.91527143 -0.13822384],[ 0.91493224 -0.39246459 -0.09418355],0.4052156337936901,-0.10257915104256805,0.4154563206380692
374,13654,4,"[450.2413212245496, 2626.039402372931, 139.02226453786437]",[-0.22144294 -0.55728749  0.80024601],[0.48155112 0.65109402 0.5866729 ],[ 0.84798086 -0.51527393 -0.12418224],0.5460241118793079,-0.14541101302526804,0.5586322237896454
