,X,Y,Z,sig_xx,sig_yy,sig_zz,sig_xy,sig_xz,sig_yz,eps_xx,eps_yy,eps_zz,eps_xy,eps_xz,eps_yz,Azimuth,Elevation
10,2383.0085930950218,10999.999999999998,585.5199862724428,3.2313368381071014e-11,6.180466278068257e-23,9.655566476549151e-23,-2.6089508941111993e-11,-3.260950176748115e-11,7.725462810339105e-23,5.291322935363496e-13,0.0,0.0,-5.922367389154695e-13,-7.402417971155623e-13,1.0097419586828951e-28,9.043708527098611e-06,2.5274082458712854e-05
11,2131.3903323746777,10999.999999999998,934.6122952060738,-1.3121288675560067e-10,3.3862816383044715e-21,5.091692658154775e-22,1.9311536181111682e-10,-7.488354138608784e-11,-1.3126395430974377e-21,-2.1486146195570655e-12,0.0,0.0,4.3837548791162185e-12,-1.6998704134052312e-12,1.0097419586828951e-26,4.4868748766241966e-05,0.00011980934998445168
12,2272.449132491196,10560.15726852664,585.5199862724429,8.407170959448157e-13,8.118744566425862e-13,2.1617380108755547e-12,-3.1671106614795655e-11,-2.5610745343781926e-11,2.120079306271662e-12,1.3766765505351941e-14,1.84297022087776e-14,4.907185768843192e-14,-7.1894005141124e-13,-5.813687155957314e-13,4.812619729188027e-14,7.865732240828792e-05,0.00019579416979121728
13,2566.0171861900435,10999.999999999998,1171.0399725448858,5.084982435109147e-12,-8.549135843645624e-12,4.255004682008365e-12,-2.0318160856589916e-11,-2.655841350220805e-11,-9.081362806284399e-12,8.326672684688674e-14,-1.9406698470447736e-13,9.658940314238862e-14,-4.6122605655911e-13,-6.028809602681084e-13,-2.0614863643046358e-13,0.0001457737548030543,0.0006499160782034374
14,1493.659447373065,10055.93836054975,2.983901864402426e-14,5.627380561528434e-12,4.020245803001882e-12,3.345314025862848e-12,-2.7864279264796026e-11,-2.658629688804173e-11,-7.008397737795959e-12,9.214851104388799e-14,9.126033262418787e-14,7.593925488436071e-14,-6.325243576365691e-13,-6.035139183486004e-13,-1.5909194115805393e-13,3.2432661944547295e-05,8.000905245284499e-05
15,1054.2189079768896,10495.781092023106,-1.3042170601331165e-13,1.8387296485334525e-11,-3.999215319828171e-11,1.4105095980486496e-11,5.91330327511516e-11,-4.581159903090829e-11,-1.329316271238403e-10,3.0109248427834245e-13,-9.078293672359905e-13,3.2018832030189515e-13,1.342330917673763e-12,-1.0399318774391144e-12,-3.0175728306806173e-12,2.233760860308662e-06,5.51496415802914e-06
16,1352.6006472565466,10495.781092023108,349.092308933631,-1.0567949495480817e-10,4.0764234357836543e-22,2.210982412370077e-22,-6.700310504059836e-11,-4.934554253427177e-11,2.976739170130542e-22,-1.7305046284832315e-12,0.0,0.0,-1.5209830325388988e-12,-1.1201530567960622e-12,-5.768150938976038e-26,1.9284296095018042e-05,4.76379125919068e-05
17,1008.4378159537807,9991.562184046217,-1.3397804458712332e-13,1.7546579389445592e-11,-8.56380827358181e-12,2.0052320914931256e-11,-1.8583117213065678e-11,-2.9016139084504504e-11,-4.926351337984238e-13,2.873257187729905e-13,-1.944000516118649e-13,4.551914400963142e-13,-4.21840240918094e-13,-6.586717912599955e-13,-1.1182909797737152e-14,3.15911649805546e-05,7.739675929519733e-05
18,2528.3577165998004,10453.351863044309,-2.4340271078885638e-14,9.695366509633748e-12,3.987862076703441e-23,1.4174746564709214e-22,-2.0956818349532567e-11,-3.9510537298370316e-11,7.509320877039286e-23,1.5876189252139739e-13,0.0,0.0,-4.757237012547153e-13,-8.968965960695289e-13,-2.069971015299935e-27,7.430564501401738e-06,1.8397917629091985e-05
19,2417.798255995976,10013.50913157095,2.983901864402426e-14,-7.675611486392186e-11,5.233516620918165e-22,2.899639774050419e-22,-7.591928130282559e-11,-5.6510260383740895e-11,3.895550404264879e-22,-1.2568834861781397e-12,0.0,0.0,-1.72338190348085e-12,-1.282793493761712e-12,0.0,6.578188456520749e-05,0.00016250736935813416
20,2711.3663096948226,10453.351863044309,585.5199862724431,-3.1052292737135008e-12,-2.4454049895277704e-14,1.2813922145850036e-12,-3.1048731434539003e-12,-1.7328861364482918e-11,-1.8139236144311104e-13,-5.084821452783217e-14,-5.551115123125783e-16,2.90878432451791e-14,-7.048120182633447e-14,-3.933683982631012e-13,-4.117640575402116e-15,0.0001150530704099046,0.00029497109038017306
21,2856.7154331996035,9906.703726088623,-4.195546299641818e-14,-2.8069103041865e-12,4.8908099791974197e-14,3.638762624577961e-12,-3.6265633997179207e-13,-1.8182879342353124e-11,-2.116400509367228e-12,-4.596323321948148e-14,1.1102230246251565e-15,8.260059303211165e-14,-8.232366834355514e-15,-4.1275476629829075e-13,-4.804268791483083e-14,0.00010696709509812812,0.00026431225085318377
22,950.2218976091742,11000.0,396.1673026011944,-1.3356553862901798e-12,3.883303123509537e-12,4.8712467393481e-12,-6.958320221498983e-13,-1.9779654640536338e-11,-4.352880595448273e-12,-2.1871393585115584e-14,8.815170815523743e-14,1.1057821325266559e-13,-1.5795517215874316e-14,-4.490018646056171e-13,-9.881120470913671e-14,1.0424002985136622e-06,2.5751508858340657e-06
23,1248.6036368888297,10999.999999999998,745.2596115348254,-2.454351522018684e-12,8.348746093367222e-27,2.2218812204526185e-23,-3.032256326887551e-13,-1.564284360849784e-11,4.306962056853972e-25,-4.0190073491430667e-14,0.0,0.0,-6.883278649084362e-15,-3.55095479450646e-13,0.0,9.007661314885593e-06,2.225833739389866e-05
24,904.4408055860646,10495.781092023108,396.1673026011943,9.62756674381525e-13,2.0541401913299712e-13,-7.874204066501337e-13,8.977929679291564e-12,-4.859968607904264e-12,-1.382903478026433e-12,1.5765166949677223e-14,4.6629367034256575e-15,-1.787459069646502e-14,2.0380068507559297e-13,-1.1032219755748008e-13,-3.1392167936437735e-14,1.6854181060431657e-05,4.163107066311593e-05
25,800.4437952183487,10999.999999999998,792.3346052023887,1.4346430443626171e-11,-3.809940973816943e-12,-5.7613741555245815e-12,5.995489334585706e-12,-4.67575082379761e-12,-5.022213775058421e-13,2.349231920106831e-13,-8.64863736182997e-14,-1.3078427230084344e-13,1.3609873070955828e-13,-1.0614041935834361e-13,-1.1400519323547913e-14,6.213460843866584e-06,1.5350283724344444e-05
26,2749.999999999999,10999.999999999996,-1.9275824888409804e-13,3.1459091331924325e-12,-1.252047354680751e-12,5.379890977265651e-13,4.5450561058112126e-12,-9.542547296940954e-12,3.424488835999251e-13,5.1514348342607263e-14,-2.842170943040401e-14,1.2212453270876722e-14,1.0317362478432688e-13,-2.166176107357921e-13,7.773653790465903e-15,3.231872891768861e-07,9.766628810557907e-07
27,2933.0085930950213,10999.999999999996,585.5199862724428,9.085168617366664e-13,-1.3205186943904549e-12,1.5745631842384715e-23,4.245116872095475e-12,-1.0740906058031017e-11,-9.26287371109459e-13,1.4876988529977098e-14,-2.9976021664879227e-14,0.0,9.636494800744277e-14,-2.4382057903703397e-13,-2.1026896795965844e-14,1.100339563641695e-05,5.933420445194136e-05
28,3078.357716599801,10453.35186304431,2.7006221874480165e-14,2.549271194141162e-12,1.2208896093249278e-23,3.353989954928916e-23,-1.1595606874458746e-11,-1.921923791995522e-11,2.0280755339211748e-23,4.1744385725905886e-14,0.0,0.0,-2.6322244763537605e-13,-4.362803000954089e-13,1.0218705250502933e-27,5.6972450434497706e-06,1.4508719366465328e-05
29,3300.0,11000.0,-1.7959573891012676e-14,1.2217517797455057e-11,2.875289344397113e-23,5.95556236718408e-23,-1.7794920893627518e-11,-2.5610418347844655e-11,4.123652489086382e-23,2.000621890374532e-13,0.0,0.0,-4.0394803685642464e-13,-5.813612927264163e-13,-3.2821739481507765e-27,4.253611935575647e-07,2.543176178623368e-06
30,550.0000000000001,10999.999999999998,-1.646881364254093e-14,2.4407915688584675e-13,3.9463334244892607e-23,4.1047934105179387e-23,-2.0847413099849867e-11,-2.1261844447086734e-11,4.024783650899785e-23,3.9968028886505635e-15,0.0,0.0,-4.732401815980849e-13,-4.826478507936326e-13,0.0,5.8547959595422e-08,1.4462149985797872e-07
31,400.22189760917416,10999.999999999998,396.16730260119414,1.220395784420614e-12,-2.039467761312838e-12,6.739536151429849e-12,-1.4803367767783686e-11,-2.267875925151544e-11,-1.6411755419367657e-12,1.9984014443252818e-14,-4.629630012686903e-14,1.5298873279334657e-13,-3.3603922065216024e-13,-5.148120822091238e-13,-3.725499215651787e-14,4.0931368243156654e-07,1.0111721823184355e-06
32,504.2189079768906,10495.78109202311,1.6875873420284966e-14,1.2041238406458877e-11,1.4085532743736544e-12,7.473157648410244e-12,-6.018734500441256e-11,-5.072595465780598e-11,1.852306279984086e-11,1.971756091734278e-13,3.197442310920451e-14,1.6964207816272392e-13,-1.3662640032763652e-12,-1.1514886705132007e-12,4.204769944864442e-13,1.333467055285009e-06,3.288606995793034e-06
